Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
1589.939914,1863.089914,1.287747894,4.064637483,13162.2,10221.1,2514.64,1879.144769
1589.939914,1863.089914,1.300888207,4.142528364,12995.6,9989.79,2411.52,1861.014797
1589.939914,1863.089914,1.2926782,4.102666047,13005.7,10061.05,2452.32,1872.279592
1589.939914,1863.089914,1.276645473,4.101218329,13382.5,10482.55,2555.96,1894.885829
1589.939914,1863.089914,1.281367453,4.085570595,14063.2,10975.15,2686.32,1888.142875
1589.939914,1863.089914,1.293596832,4.089777085,13850.8,10707.2,2618.04,1871.008825
1589.939914,1863.089914,1.270281328,3.99962597,13040.2,10265.6,2566.64,1904.088109
1589.939914,1863.089914,1.274358206,4.06100297,12963.6,10172.65,2504.96,1898.17792
1589.939914,1863.089914,1.294297027,4.079104064,12945.3,10001.8,2451.96,1870.041987
1589.939914,1863.089914,1.284269972,4.069253672,12707.8,9894.96,2431.64,1884.033541
1728.477732,2001.627732,1.207069874,3.813993983,11263,9330.86,2446.48,2003.073406
1728.477732,2001.627732,1.224330547,3.882310092,11092.9,9060.38,2333.76,1974.61681
1728.477732,2001.627732,1.230540528,3.876496993,11009.4,8946.8,2307.96,1964.649619
1728.477732,2001.627732,1.204744097,3.8019987,11275.2,9359,2461.6,2006.994188
1728.477732,2001.627732,1.209838937,3.808423786,11851.8,9796.18,2572.24,1998.432409
1728.477732,2001.627732,1.213681386,3.835410697,11697,9637.62,2512.8,1992.040809
1728.477732,2001.627732,1.194044593,3.754354239,10758.7,9010.3,2399.96,2025.302224
1728.477732,2001.627732,1.193077723,3.771200797,10836.2,9082.56,2408.4,2026.978817
1728.477732,2001.627732,1.215231707,3.841891616,10972.4,9029.06,2350.16,1989.477802
1728.477732,2001.627732,1.216659228,3.86513016,10903.7,8962,2318.68,1987.125814
1728.477732,2001.627732,1.226691826,3.894473904,11207.4,9136.28,2345.96,1970.810273
1728.477732,2001.627732,1.232485146,3.888814879,11081.2,8990.94,2312,1961.557316
1728.477732,2001.627732,1.21769358,3.847270558,11307.6,9286.08,2413.68,1985.426391
1728.477732,2001.627732,1.220931688,3.81894106,11701.8,9584.32,2509.68,1980.132075
1728.477732,2001.627732,1.205483253,3.838434587,11991.4,9947.38,2591.52,2005.745864
1728.477732,2001.627732,1.217396747,3.816557018,11864.7,9745.96,2553.6,1985.913672
1728.477732,2001.627732,1.203542558,3.755424583,10981.7,9124.48,2429.68,2009.027911
1728.477732,2001.627732,1.216391762,3.841104417,11199.1,9206.82,2396.92,1987.56591
1728.477732,2001.627732,1.206874189,3.829556169,10979.9,9097.8,2375.68,2003.402487
1728.477732,2001.627732,1.214882878,3.864194648,10855.1,8935.1,2312.28,1990.053701
