Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
2023.417065,2296.567065,1.254629275,4.156647146,13090.3,10433.6,2510.1,2209.260141
2023.417065,2296.567065,1.21833081,4.337680827,11507.5,9445.3,2177.5,2274.990358
2023.417065,2296.567065,1.213255989,4.259825239,12716.5,10481.3,2460.5,2284.560043
2023.417065,2296.567065,1.230671384,4.24232715,12384,10062.8,2372,2252.116422
2023.417065,2296.567065,1.203263358,4.307708226,15029,12490.2,2899.5,2303.687888
2107.430087,2380.580087,1.1276164,4.159199954,8113.2,7195,1729.9,2461.705718
2107.430087,2380.580087,1.189817754,4.014254024,10119.4,8505,2118.7,2330.035388
2107.430087,2380.580087,1.124217914,4.250037915,9451.3,8407,1978.1,2469.394093
2107.430087,2380.580087,1.144263812,4.142915811,10389,9079.2,2191.5,2424.811634
2107.430087,2380.580087,1.176676662,4.05896816,11655.1,9905.1,2440.3,2356.483348
2107.430087,2380.580087,1.180054741,4.033344656,8407.3,7124.5,1766.4,2349.617492
2107.430087,2380.580087,1.153425656,4.085359801,9495,8232,2015,2405.038141
2107.430087,2380.580087,1.182981245,3.999907042,10180.5,8605.8,2151.5,2343.70719
2107.430087,2380.580087,1.170550262,4.177410417,10589.5,9046.6,2165.6,2369.055424
2107.430087,2380.580087,1.166702641,4.052644135,11891.5,10192.4,2515,2377.031367
2173.642622,2446.792622,1.128441119,3.998174157,9637,8540.1,2136,2459.848072
2173.642622,2446.792622,1.136803543,3.92973786,10395.5,9144.5,2327,2441.189131
2173.642622,2446.792622,1.132814649,3.952631579,10294,9087.1,2299,2450.049439
2173.642622,2446.792622,1.149031833,3.925864909,9583.5,8340.5,2124.5,2414.474845
2173.642622,2446.792622,1.114008644,3.956094987,8351.5,7496.8,1895,2492.817688
2173.642622,2446.792622,1.120844819,4.003476946,8905,7944.9,1984.5,2477.078531
2173.642622,2446.792622,1.150268248,3.999409449,9348,8126.8,2032,2411.810796
2173.642622,2446.792622,1.130196623,4.040614562,10254.5,9073.2,2245.5,2455.904364
2173.642622,2446.792622,1.13746865,4.018921309,10340.5,9090.8,2262,2439.718821
2173.642622,2446.792622,1.111151401,3.898868992,9193,8273.4,2122,2499.46229
2264.338981,2537.488981,1.084161088,3.932908705,10041.5,9262,2355,2564.213792
2264.338981,2537.488981,1.101463641,3.876397206,8556.5,7768.3,2004,2522.286789
2264.338981,2537.488981,1.080748953,4.038367129,8179,7567.9,1874,2572.662078
2264.338981,2537.488981,1.105744926,3.85603484,10280,9296.9,2411,2512.143406
2264.338981,2537.488981,1.09511259,3.913212928,9016.5,8233.4,2104,2537.50121
2264.338981,2537.488981,1.100365649,3.963386005,9660,8778.9,2215,2524.902761
2264.338981,2537.488981,1.080331803,3.887497338,9859,9125.9,2347.5,2573.69906
2264.338981,2537.488981,1.099698885,3.866549063,9641.5,8767.4,2267.5,2526.494251
2264.338981,2537.488981,1.112330692,3.934614554,10134,9110.6,2315.5,2496.715048
2264.338981,2537.488981,1.094122319,3.726188341,9091.5,8309.4,2230,2539.891652
2344.300135,2617.450135,1.059771336,3.749447815,12773,12052.6,3214.5,2625.948502
2344.300135,2617.450135,1.06313695,3.74492799,12716.5,11961.3,3194,2617.24072
2344.300135,2617.450135,1.054962898,3.744274689,12539.5,11886.2,3174.5,2638.496541
2344.300135,2617.450135,1.05951527,3.66669798,12406.5,11709.6,3193.5,2626.613539
2344.300135,2617.450135,1.055933835,3.757040013,11848,11220.4,2986.5,2635.952571
2344.300135,2617.450135,1.069812281,3.67609516,11985,11202.9,3047.5,2600.150631
2344.300135,2617.450135,1.060822133,3.699175734,11902,11219.6,3033,2623.223189
2344.300135,2617.450135,1.069507004,3.786226789,11231,10501.1,2773.5,2600.926988
2344.300135,2617.450135,1.076114514,3.738291249,11630,10807.4,2891,2584.23365
2344.300135,2617.450135,1.0662809,3.767462039,11111.5,10420.8,2766,2609.161817
2431.939167,2705.089167,1.025333852,3.600101338,12384.7,12078.7,3355.1,2718.683108
2431.939167,2705.089167,1.0279909,3.623652207,11884.5,11560.9,3190.4,2711.285912
2431.939167,2705.089167,1.028885414,3.582058503,11515.8,11192.5,3124.6,2708.804921
2431.939167,2705.089167,1.035184488,3.595202012,11542.1,11149.8,3101.3,2691.466077
2431.939167,2705.089167,1.030180331,3.61390485,10431.4,10125.8,2801.9,2705.221678
2431.939167,2705.089167,1.037627674,3.625122258,10768.5,10378,2862.8,2684.802743
2431.939167,2705.089167,1.034193592,3.6093554,9224.8,8919.8,2471.3,2694.178365
2431.939167,2705.089167,1.042384692,3.64364385,11069.5,10619.4,2914.5,2671.926936
2431.939167,2705.089167,1.026956124,3.614011645,11665.4,11359.2,3143.1,2714.161785
2431.939167,2705.089167,1.03496595,3.6247799,11079,10704.7,2953.2,2692.063774
2497.395577,2770.545577,1.003436593,3.481966382,12409.4,12366.9,3551.7,2781.253952
2497.395577,2770.545577,1.006349965,3.478926105,12218.9,12141.8,3490.1,2772.760845
2497.395577,2770.545577,1.01314789,3.474104413,11859.2,11705.3,3369.3,2753.146054
